date,XLK,XLV,XLF,XLY,XLP,XLI,XLU,XLE,XLB,SPY,BIL
2012-01-31,11.2298276907878,28.3597208770517,8.82402066290299,17.5076346800964,22.0352832210502,27.9229247550159,10.8532499926475,21.5536806018859,13.9434765760381,102.480393346726,74.690099578851
2012-02-01,11.3420013303184,28.6369807180284,8.96528033199963,17.5669538682672,22.1935134783353,28.22358573388,10.8908044908919,21.6390537885958,14.0822362945194,103.377838155961,74.690099578851
2012-02-02,11.3710833850115,28.5260767816377,9.00922778460747,17.5457684439205,22.2760683951797,28.2390042456166,10.8720272417697,21.8037020772508,14.0147315666096,103.541719381995,74.690099578851
2012-02-03,11.5144163688562,28.6924326862238,9.25093877395059,17.905920657814,22.3448641592167,28.7246873653201,10.900193115453,22.1878814174457,14.2059949623541,104.993238812584,74.690099578851
2012-02-06,11.520648237719,28.5339984913799,9.20699132134275,17.86778689399,22.3311050064093,28.6553040625053,10.8532499926475,22.4531481047231,14.1272394464593,104.923004001427,74.7064003426177
2012-02-07,11.5497302924121,28.6369807180284,9.20385221758505,17.9525285913767,22.3517437356204,28.6244670390321,10.9314885306567,22.569011715258,14.1122383958127,105.188335510244,74.690099578851
2012-02-08,11.620358139524,28.6369807180284,9.27291250025451,17.9948994400701,22.3586233120241,28.6861410859785,10.9440066967382,22.4927856556956,14.1272394464593,105.500490226499,74.7064003426177
2012-02-09,11.7325317790546,28.4864682329267,9.23524325516208,18.0245590341554,22.4824556872907,28.7632336446616,10.9127112815345,22.4958346980781,14.1422404971059,105.633155980908,74.690099578851
2012-02-10,11.6452856149752,28.3676425867938,9.14420924618869,17.9271060821607,22.4342986524648,28.5011189451391,10.8908044908919,22.2702055617731,13.8947231614366,104.852769190269,74.7064003426177
2012-02-13,11.720068041329,28.5815287498331,9.22896504764667,18.0711669677181,22.5306127221166,28.848035459213,10.8782863248104,22.4470500199581,13.9322257880532,105.633155980908,74.690099578851
2012-02-14,11.7408409375384,28.700354395966,9.14107014243099,18.0499815433715,22.5856493333462,28.747815132925,10.8814158663308,22.4866875709306,13.7522131802937,105.500490226499,74.7064003426177
2012-02-15,11.6785222489102,28.6449024277706,9.08456627479234,17.9694769308541,22.5787697569425,28.3700615953778,10.8595090756882,22.4500990623406,13.7634639682786,105.008846548397,74.690099578851
2012-02-16,11.8488599978271,28.8033366226145,9.22582594388897,18.0457444585021,22.7232408614202,28.6321762949004,10.9753021119419,22.7428071310605,14.0072310412863,106.171622866449,74.7064003426177
2012-02-17,11.8488599978271,28.7082761057082,9.28546891528533,18.2025165986676,22.7438795906313,28.7401058770567,10.9690430289012,22.8281803177705,14.0147315666096,106.452562111079,74.690099578851
2012-02-21,11.8987149487296,28.5023116524111,9.27605160401222,18.1389603256275,22.613167638961,28.8403262033447,10.9283589891364,22.9836814792779,14.097237345166,106.499385318518,74.690099578851
2012-02-22,11.8571691563109,28.5023116524111,9.15676566121951,18.0923523920648,22.5512514513277,28.8094891798715,10.9408771552179,23.0355151997804,14.0747357691961,106.156015130636,74.690099578851
2012-02-23,11.9028695279715,28.5260767816377,9.24152146267749,18.1813311743209,22.6682042501906,28.9020002502912,10.9314885306567,23.1513788103154,14.0897368198427,106.62424720502,74.690099578851
2012-02-24,11.9734973750834,28.6686675569972,9.21013042510046,18.1601457499742,22.7438795906313,28.8942909944229,10.9784316534623,23.2428500817903,14.0822362945194,106.858363242212,74.7064003426177
2012-02-27,11.9942702712927,28.7241195251925,9.27919070776992,18.2660728717076,22.7438795906313,28.9174187620278,10.9753021119419,23.1696730646104,14.0859865571811,107.037852204058,74.690099578851
2012-02-28,12.0815164353721,28.8350234615832,9.30430353783155,18.3677629085717,22.819554931072,28.8788724826863,10.9220999060956,23.0934470050479,14.1309897091209,107.350006920314,74.690099578851
2012-02-29,12.0254296156068,28.660745847255,9.26663429273911,18.2999695506623,22.8608323894941,28.7015595977151,10.9189703645753,22.831229360153,13.8647210601433,106.928598053369,74.7064003426177
2012-03-01,12.0981347523396,28.8112583323567,9.3670856129856,18.4525046059584,22.8264345074756,28.8017799240032,10.9471362382586,23.0507604116929,14.0184818292713,107.482672674723,74.690099578851
2012-03-02,12.0815164353721,28.7637280739035,9.33255547165087,18.4397933513504,22.8470732366868,28.6321762949004,10.9408771552179,22.788542766798,13.9847294653163,107.154910222654,74.690099578851
2012-03-05,11.9776519543252,28.700354395966,9.29802533031614,18.422845011873,22.9502668827422,28.4317356423243,10.9659134873808,22.642188732438,13.759713705617,106.717893619896,74.690099578851
2012-03-06,11.8592464459318,28.3280340380829,9.06887075600382,18.1347232407582,22.7576387434387,27.7918674052547,10.9220999060956,22.2732546041556,13.4784440059927,105.157120038618,74.690099578851
2012-03-07,11.9485698996321,28.454781393958,9.18501759503883,18.3423403993556,22.7920366254572,28.0771098723821,10.9283589891364,22.4592461894881,13.5121963699476,105.890683621819,74.690099578851
2012-03-08,12.0690526976465,28.7716497836457,9.27291250025451,18.5287721336064,22.9502668827422,28.4779911775342,10.9627839458605,22.642188732438,13.737212129647,106.944205789182,74.7064003426177
2012-03-09,12.1230622277909,28.8904754297786,9.34825099043939,18.6346992553398,23.0259422231829,28.5396652244807,11.0065975271457,22.6208454357605,13.7409623923087,107.357810788221,74.7064003426177
2012-03-12,12.1396805447584,28.8904754297786,9.32313816037776,18.5838542369078,23.1084971400273,28.5319559686123,11.1317791879605,22.4958346980781,13.6659571390756,107.365614656127,74.70623733498
2012-03-13,12.3806461407871,29.3024043363726,9.6809959887559,18.8719760080226,23.2804865501198,29.1255686704721,11.169333686205,22.7671994701205,13.8909728987749,109.300973896912,74.7064003426177
2012-03-14,12.4263465124477,29.2944826266304,9.69348962171156,18.8465534988066,23.2116907860828,29.0561853676574,11.0034679856253,22.5476684185805,13.8373441427132,109.183915878316,74.690099578851
2012-03-15,12.4595831463827,29.3420128850836,9.86306400670267,18.9101097718467,23.252968244505,29.4031018817313,10.9940793610642,22.5842569271705,13.9397263133765,109.816029178734,74.690099578851
2012-03-16,12.4539329186138,29.3392323649641,9.90059513122977,18.8495109840454,23.2379638883686,29.4160688501018,10.985291608475,22.8936188653837,13.9664544353661,109.967338373571,74.690099578851
